"subId","estimatedValue","debtAmount","independentValuation","longitude","latitude","maxBid"
"SUB-JA-2020-142746",423621,200623.06,0,2.0175242,41.49364569999999,0
"SUB-JA-2020-142755",115.25,93392.96,0,-4.9039424,37.2066534,43962.2
"SUB-JA-2020-142756",129050,17325.76,129050,2.8527235,41.9785038,84500
"SUB-JA-2020-142758",118834.25,115686.08,0,-3.8960811,39.8646455,121210.68
"SUB-JA-2020-142766",31725.38,21997.96,0,0.6298922,40.6837192,0
"SUB-JA-2020-142767",231700,3196.88,0,-4.9922474,36.4890241,88046
"SUB-JA-2020-142786",250328.6,107627.95,0,-1.1640968,37.7286748,202767.3
"SUB-JA-2020-142793",947700,187151.28,0,-4.914323899999999,41.3165673,189540
"SUB-JA-2020-142802",157632.9,13630.04,0,-8.7494934,42.2231462,38000.7
"SUB-JA-2020-142821",210000,373319.23,0,-5.9859016,37.39421129999999,205800
"SUB-JA-2020-142824",198248.49,6674.81,198248.49,-4.5160396,36.6265566,237897.6
"SUB-JA-2020-142830",737526.33,737526.33,0,-4.795052999999999,41.626038,531018.72
"SUB-JA-2020-142848",178497.1,112603.84,178497.1,-2.1155691,40.0543178,80000
"SUB-JA-2020-142852",62915.67,6000,0,0.7342734,40.7338056,8808.17
"SUB-JA-2020-142871",69680,0.01,0,2.1597595,41.4960695,68286.4
"SUB-JA-2020-142883",4500,11621.64,0,-7.888488099999999,43.7524978,1980
"SUB-JA-2020-142886",314000,170710.54,0,1.2463911,41.1051057,163280
"SUB-JA-2020-142889",177100,108650.54,0,-3.6065848,40.4108343,88550
"SUB-JA-2020-142893",3750000,2034763.64,0,-3.566086,37.1741655,3975000
"SUB-JA-2020-142897",333000,207686.75,333000,-3.6876803,42.3691152,217000.1
"SUB-JA-2020-142905",113720,96301.21,113720,-0.3960275,39.4417674,100005
"SUB-JA-2020-142909",162864,75673.93,0,-4.789873099999999,37.4353399,0
"SUB-JA-2020-142913",250252.2,29317.35,250252.2,-3.4902391,40.1030918,150151.2
"SUB-JA-2020-142922",126678.9,23787.84,126678.9,-4.028678,38.2897569,50671.4
"SUB-JA-2020-142931",49166.07,2772.66,0,-4.6812086,36.5663156,55100
"SUB-JA-2020-142932",302011.5,201950.99,0,-7.4056928,37.2686016,0
"SUB-JA-2020-142970",124179.61,289543.74,0,-5.9859016,37.39421129999999,218555.92
"SUB-JA-2020-143007",96161.93,46578.92,0,-0.9366844999999999,38.0832273,63466.59
